title,description,date_updated,deadline,access_time,funding,link,country,university,location
"PhD studentship in Machine Learning and Artificial Intelligence (AI) Systems: Distributed Deep Learning, Personalising Foundation Models and Building Efficient Autonomous Distributed AI",,17 May 2024,24 May 2024,2024-05-20T00:07:38.346634,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/phd-studentship-in-machine-learning-and-artificial-intelligence-ai-systems-distributed-deep-learning-personalising-foundation-models-and-building-efficient-autonomous-distributed-ai/?p169832,United Kingdom,University of Edinburgh,
Argumentation-enhanced Explainable Image Quality Captioning (Arg-IQC),,17 May 2024,30 June 2024,2024-05-20T00:07:38.347601,Self-Funded PhD Students Only,https://www.findaphd.com/phds/project/argumentation-enhanced-explainable-image-quality-captioning-arg-iqc/?p172074,United Kingdom,University of Dundee,
Deep Learning based Controllable Animation,,17 May 2024,14 June 2024,2024-05-20T00:07:38.348501,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/deep-learning-based-controllable-animation/?p172073,United Kingdom,University of Sheffield,
"AI-enhanced dementia prevention: precision risk reduction using large language models, NIHR Funded PhD in Medical Studies Ref: 5100",,17 May 2024,10 June 2024,2024-05-20T00:07:38.349397,Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/ai-enhanced-dementia-prevention-precision-risk-reduction-using-large-language-models-nihr-funded-phd-in-medical-studies-ref-5100/?p170987,United Kingdom,University of Exeter,
"Harnessing the Power of Machine Learning to Investigate the Relationship between Fatigue, and Medical Errors Implications in Healthcare",,17 May 2024,31 May 2024,2024-05-20T00:07:38.350272,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/harnessing-the-power-of-machine-learning-to-investigate-the-relationship-between-fatigue-and-medical-errors-implications-in-healthcare/?p169639,United Kingdom,University of Sunderland,
"Harnessing waste-heat from challenging environments with flexible electronics, sponsored by BAE Systems",,17 May 2024,31 August 2024,2024-05-20T00:07:38.351074,Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/harnessing-waste-heat-from-challenging-environments-with-flexible-electronics-sponsored-by-bae-systems/?p169397,United Kingdom,University of Southampton,
AI4ME (BBC Prosperity Partnership) - PhD Studentship in Quality of Experience (QoE) in Object-Based Media,,17 May 2024,Year round applications,2024-05-20T00:07:38.351874,Competition Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/ai4me-bbc-prosperity-partnership-phd-studentship-in-quality-of-experience-qoe-in-object-based-media/?p167279,United Kingdom,Lancaster University,
AI4ME (BBC Prosperity Partnership) - PhD Studentship in Computer Networking & Distributed Systems,,17 May 2024,Year round applications,2024-05-20T00:07:38.352689,Competition Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/ai4me-bbc-prosperity-partnership-phd-studentship-in-computer-networking-and-distributed-systems/?p167280,United Kingdom,Lancaster University,
Computational Design of Small Molecules to Prevent the Early Formation of Multispecies Biofilms,,17 May 2024,Year round applications,2024-05-20T00:07:38.353515,Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/computational-design-of-small-molecules-to-prevent-the-early-formation-of-multispecies-biofilms/?p172061,United Kingdom,University of Strathclyde,
"The identification, classification and implementation of tactical strategies using AI and tracking data in elite football (Ref: SSEHS/ABBL)",,17 May 2024,30 May 2024,2024-05-20T00:07:38.354410,Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/the-identification-classification-and-implementation-of-tactical-strategies-using-ai-and-tracking-data-in-elite-football-ref-ssehs-abbl/?p172059,United Kingdom,Loughborough University,
Energy-Efficient Storage Technologies and Quantum Materials,,16 May 2024,15 May 2025,2024-05-20T00:07:38.355304,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/energy-efficient-storage-technologies-and-quantum-materials/?p172048,United Kingdom,University of Edinburgh,
Computationally driving automated functional materials discovery for net zero technologies with machine reasoning and decision-making,,16 May 2024,30 June 2024,2024-05-20T00:07:38.356202,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/computationally-driving-automated-functional-materials-discovery-for-net-zero-technologies-with-machine-reasoning-and-decision-making/?p169494,United Kingdom,University of Liverpool,
Developing a digital twin for validation of packing optimisers used for nuclear decommissioning,,16 May 2024,15 July 2024,2024-05-20T00:07:38.357093,Competition Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/developing-a-digital-twin-for-validation-of-packing-optimisers-used-for-nuclear-decommissioning/?p172036,United Kingdom,University of Leeds,
Probabilistic corrosion analysis for secure long-term geological disposal of nuclear waste in high-chloride environments,,16 May 2024,15 July 2024,2024-05-20T00:07:38.358035,Competition Funded PhD Project (UK Students Only),https://www.findaphd.com/phds/project/probabilistic-corrosion-analysis-for-secure-long-term-geological-disposal-of-nuclear-waste-in-high-chloride-environments/?p172034,United Kingdom,University of Leeds,
Collaborative Intelligent Computing Services in Integrated space-air-terrestrial Networks,,16 May 2024,17 June 2024,2024-05-20T00:07:38.358975,Funded PhD Project (Students Worldwide),https://www.findaphd.com/phds/project/collaborative-intelligent-computing-services-in-integrated-space-air-terrestrial-networks/?p172027,United Kingdom,University of Leeds,
